,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,split3_train_AUC,split4_train_AUC,mean_train_AUC,std_train_AUC,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,split3_train_Precision,split4_train_Precision,mean_train_Precision,std_train_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,split4_train_Recall,mean_train_Recall,std_train_Recall,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_train_F1,split1_train_F1,split2_train_F1,split3_train_F1,split4_train_F1,mean_train_F1,std_train_F1
60,0.11393852233886718,0.003355701307052652,0.03397669792175293,0.0017785513719641884,entropy,5,10,50,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50}",0.7367990025913069,0.7338225265728298,0.7460196902320606,0.7666460755516646,0.7397562611989758,0.7446036811180916,0.011732035860848576,4,0.7750993695525559,0.774827859121488,0.7739340286199369,0.7680140252203881,0.7732326525300135,0.7730215870088765,0.0025896939068914414,0.7330595482546202,0.7323651452282157,0.7463617463617463,0.7575757575757576,0.7459016393442623,0.7430472601922617,0.009423817251093413,3,0.7550491973070947,0.7531422825540472,0.7553956834532374,0.7468030690537084,0.7535248041775456,0.7527830073091266,0.003111292225912552,0.6574585635359116,0.6500920810313076,0.6611418047882136,0.6918819188191881,0.6715867158671587,0.6664242518547753,0.014487129844315412,88,0.6718894009216589,0.6903225806451613,0.6774193548387096,0.6725011515430677,0.6646706586826348,0.6753606293262464,0.008515865783299218,0.6932038834951457,0.6887804878048781,0.7011718749999999,0.7232401157184185,0.7067961165048543,0.7026316142691545,0.012039190798065143,62,0.7110460863204096,0.7203654724693436,0.7142857142857143,0.7077072224915172,0.7063142437591777,0.7119437478652324,0.005036973535634851
61,0.2198775291442871,0.003642505713275931,0.06017255783081055,0.0014730066870175126,entropy,5,10,100,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.7343523362505907,0.7354844768939904,0.749545719967496,0.766210389376621,0.7397480792989748,0.7450628596587889,0.01184736213789317,1,0.7755352927953243,0.7756420337771424,0.7747258638957326,0.7684373847659465,0.7739554770705765,0.7736592104609444,0.0026812034712606044,0.7196078431372549,0.7478632478632479,0.7443298969072165,0.7586206896551724,0.7434343434343434,0.7427632194971422,0.012782772407413845,4,0.7515182186234818,0.7572078907435509,0.7519260400616333,0.7478171545968156,0.753822629969419,0.75245838679898,0.0030700909676742304,0.6758747697974218,0.6445672191528545,0.6648250460405156,0.6900369003690037,0.6789667896678967,0.6708496622574536,0.015402466035869481,81,0.684331797235023,0.6898617511520737,0.6746543778801843,0.6706586826347305,0.6812528788576693,0.6801518975519361,0.006830941811169261,0.6970560303893638,0.692383778437191,0.7023346303501945,0.7227053140096618,0.7097396335583414,0.7048377302288399,0.010630425581096822,36,0.7163531114327062,0.7219676874849289,0.7111974738887541,0.7071393880524527,0.7157028792644569,0.7144721080246598,0.005014552702402194
62,0.43774867057800293,0.0035151779645527246,0.11593632698059082,0.0026011699514634614,entropy,5,10,200,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 200}",0.7354666797046888,0.7355681869224518,0.7461299424646682,0.7675972214267597,0.7375226024987523,0.7444518559217139,0.012213398221549522,7,0.7762182349515158,0.7766857296041463,0.7735177502329679,0.769376737681679,0.7728950366898847,0.7737386978320387,0.00263136386348668,0.7292929292929293,0.7399577167019028,0.7402862985685071,0.7586206896551724,0.7429718875502008,0.7422198520809393,0.009439288329179632,5,0.752434648898001,0.7560606060606061,0.7512794268167861,0.7478216299333675,0.7539400101677681,0.7523072643753057,0.00275488750548712,0.6648250460405156,0.6445672191528545,0.6666666666666666,0.6900369003690037,0.6826568265682657,0.6697428605682482,0.015784626930378156,83,0.6764976958525346,0.6898617511520737,0.6764976958525346,0.6720405343159834,0.6830953477660064,0.6795986049878265,0.006227601246976297,0.6955684007707129,0.6889763779527559,0.7015503875968992,0.7227053140096618,0.7115384615384615,0.7040608236752874,0.011910545182930641,54,0.7124484348459111,0.7214457831325302,0.7119301648884578,0.70790878214459,0.7167713871435476,0.7141009104310073,0.004623069658983795
63,0.17009506225585938,0.011538069858730706,0.04317574501037598,0.0003914246532628458,entropy,10,2,50,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.7171380726543783,0.7235016925759413,0.72804245119297,0.7439924399243993,0.7310548105481055,0.7287400243341924,0.008949893833127928,50,0.8744594705058907,0.8749741501461634,0.8719996936313619,0.8677533490445064,0.8747090519578784,0.8727791430571601,0.002728818487397316,0.7066189624329159,0.7089552238805971,0.7190388170055453,0.7145454545454546,0.7051509769094139,0.7108614410739105,0.005190026367685948,47,0.7966573816155988,0.8025151374010246,0.7960222016651248,0.7910040890504316,0.7927437641723356,0.795788514780903,0.003955204845481254,0.7274401473296501,0.6998158379373849,0.716390423572744,0.7250922509225092,0.7324723247232472,0.7202402081204078,0.0114629140300962,6,0.7907834101382488,0.7940092165898618,0.7930875576036867,0.8019345923537541,0.8051589129433441,0.7969947379257791,0.005546456600167819,0.7168784029038111,0.7043558850787767,0.7177121771217712,0.7197802197802197,0.7185520361990951,0.7154545371109068,0.005632333756316859,7,0.793709528214616,0.798239518183924,0.7945521698984302,0.7964318389752975,0.7989031078610603,0.7963672326266656,0.0020148516492226125
64,0.32422771453857424,0.0034369892321086727,0.08174753189086914,0.001598772352910339,entropy,10,2,100,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.7158913117880017,0.7232689378626583,0.729336894072105,0.7473020184747302,0.7221242666972124,0.7275794633423134,0.01074106763153,51,0.8766816189318157,0.8764421665368854,0.8737343783907987,0.8699870236088658,0.8764505933796163,0.8746591561695964,0.0025753743602460904,0.7091561938958707,0.7063339731285988,0.7203703703703703,0.7163636363636363,0.7037037037037037,0.7111856307207154,0.006241276366158171,46,0.7952865064695009,0.802434456928839,0.8018648018648019,0.785972850678733,0.7987191216834401,0.7968555475250629,0.006009737902815126,0.7274401473296501,0.6777163904235728,0.716390423572744,0.7269372693726938,0.7361623616236163,0.7169255490611142,0.020584242141745618,17,0.7930875576036867,0.7898617511520737,0.7926267281105991,0.8000921234454169,0.8042376784891755,0.7959811677601903,0.00533183703404387,0.7181818181818181,0.6917293233082706,0.7183748845798706,0.7216117216117216,0.7195671776375113,0.7138911528851297,0.01114931376372815,13,0.7941855099215506,0.796098467254993,0.7972190034762456,0.7929696416343301,0.8014689006196924,0.7963883045813624,0.0029368719104897623
65,0.6524321079254151,0.011865761691346696,0.15671744346618652,0.0009810454761758083,entropy,10,2,200,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.7161520722306426,0.7267235078176999,0.731211182026436,0.746790649724679,0.7265138560476514,0.7294726842033579,0.009966479347717284,49,0.8788685154342116,0.8770474999042598,0.8745867214726118,0.8701447307813523,0.8757899075065297,0.8752874750197931,0.0029364213009468445,0.7057761732851986,0.7014925373134329,0.7205882352941176,0.7145454545454546,0.7091561938958707,0.7103101866155994,0.006682243816883593,49,0.7959465684016582,0.8002786809103576,0.797951582867784,0.7902416780665754,0.7985414767547858,0.7965919974002322,0.0034636313872251083,0.7200736648250461,0.6924493554327809,0.7219152854511971,0.7250922509225092,0.7287822878228782,0.7176593210935328,0.01294950198666117,14,0.7963133640552995,0.7940092165898618,0.7898617511520737,0.7982496545370796,0.8070013818516812,0.7970870736371992,0.005690733120706702,0.7128532360984504,0.6969416126042632,0.7212511499540019,0.7197802197802197,0.7188353048225661,0.7139299238944334,0.00896297269440693,12,0.7961299239806496,0.7971316215591024,0.793886058360352,0.7942254812098991,0.8027491408934707,0.7968244452006947,0.003195855664488233
66,0.16110448837280272,0.002918785422765462,0.043578720092773436,0.001492295872760973,entropy,10,5,50,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.7171502958001272,0.727609609094584,0.7332957659059264,0.7507118253000712,0.7297518429729752,0.7316975064734894,0.010919541411428908,44,0.8664521748904126,0.8638732655067209,0.8607462629408836,0.8557548444555594,0.8602086685355053,0.8614070432658163,0.0036154028620271426,0.699288256227758,0.7091254752851711,0.7219152854511971,0.7291666666666666,0.6977152899824253,0.7114389442686895,0.012370551738288467,45,0.7839335180055401,0.7924616100511866,0.7912962096396818,0.7793709528214616,0.780388612742883,0.7854901806521506,0.005444353835707179,0.7237569060773481,0.6869244935543278,0.7219152854511971,0.7103321033210332,0.7324723247232472,0.7150794242154203,0.015746593584611123,21,0.7824884792626728,0.7847926267281106,0.7792626728110599,0.7761400276370336,0.7954859511745739,0.7836339515226902,0.006608956096951213,0.7113122171945702,0.6978484565014031,0.7219152854511972,0.7196261682242991,0.7146714671467146,0.7130727243978465,0.008468786241503103,15,0.7832103321033211,0.7886084741838388,0.7852333410726723,0.7777521347795985,0.7878649635036495,0.7845338491286161,0.003896961075708094
67,0.31741766929626464,0.0016262882833144223,0.07995452880859374,1.643158983914278e-05,entropy,10,5,100,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.7181118499323653,0.7287325485007738,0.7331446795130935,0.7514625146251462,0.7309095818230911,0.7324658376135214,0.010804537385499389,42,0.8660674691162495,0.8645918276165796,0.8620983698635383,0.856933565215616,0.8625435257760634,0.8624469515176093,0.0031060233558025804,0.7050359712230215,0.7102272727272727,0.7252336448598131,0.7262773722627737,0.7079646017699115,0.7149449031320038,0.008982787725789509,40,0.7856812933025404,0.7920333487725799,0.788961038961039,0.7753818508535489,0.780107047279215,0.7844329158337846,0.006007725730175448,0.7219152854511971,0.6906077348066298,0.714548802946593,0.7343173431734318,0.7380073800738007,0.71987316517109,0.01688916199027966,8,0.7838709677419354,0.7880184331797235,0.7838709677419354,0.7950253339474896,0.8056195301704284,0.7912810465563025,0.008247120497915086,0.713375796178344,0.7002801120448179,0.7198515769944341,0.7302752293577982,0.7226738934056007,0.7172868373931423,0.010087025098024149,4,0.7847750865051902,0.7900207900207901,0.7864077669902912,0.7850807368660451,0.7926580557443916,0.7877884872253416,0.003066423245680443
68,0.6462432861328125,0.004838273751893343,0.1575101852416992,0.002057874686361864,entropy,10,5,200,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.7206746361576949,0.7278750311360471,0.7329057996757768,0.7492206740249221,0.7274384107477438,0.7316180076440163,0.00961907294417157,45,0.8675081999039513,0.864787648237742,0.8611373935688117,0.8580658414685651,0.863446131389469,0.8629890429137077,0.003210395883834081,0.7122040072859745,0.7062146892655368,0.7240740740740741,0.7148080438756855,0.7019400352733686,0.7118496398881321,0.007592337895340445,44,0.784331797235023,0.790129151291513,0.7904806346243584,0.7767736104835066,0.7824897400820794,0.7848409867432959,0.005111565455819213,0.7200736648250461,0.6906077348066298,0.7200736648250461,0.7214022140221402,0.7343173431734318,0.717291231239688,0.014381854933578006,16,0.784331797235023,0.7894009216589861,0.7806451612903226,0.7918010133578995,0.7904191616766467,0.7873196110437756,0.004183236679197031,0.7161172161172161,0.6983240223463688,0.7220683287165283,0.7180899908172634,0.7177637511271414,0.7144716024841907,0.008308329660947137,10,0.7843317972350229,0.789764868603043,0.7855321122188732,0.7842153284671534,0.7864344637946837,0.7860557140637552,0.002026541192452166
69,0.15611400604248046,0.0019336095693899477,0.043378782272338864,0.0013525454884087695,entropy,10,10,50,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",0.7181444449876955,0.7284385425471532,0.7332651402857575,0.7500511368750051,0.7315211788481522,0.7322778210931306,0.010314262466913839,43,0.8492284171375438,0.8456353957899843,0.8443730293475625,0.8396652678023454,0.8463201021779155,0.8450444424510704,0.003126291516207859,0.7089285714285715,0.7134831460674157,0.7198515769944341,0.7184115523465704,0.7013888888888888,0.7124130572432518,0.00672356703129152,42,0.7754158964879853,0.7757268112598061,0.7730593607305936,0.7650248531405333,0.7697809566383549,0.7718015756514547,0.004001491776372489,0.7311233885819521,0.7016574585635359,0.714548802946593,0.7343173431734318,0.7453874538745388,0.7254022256085219,0.015446826962036982,1,0.7732718894009216,0.7746543778801843,0.780184331797235,0.7798249654537079,0.7931828650391525,0.7802236859142403,0.00703484921067285,0.7198549410698096,0.7075208913649025,0.7171903881700554,0.7262773722627738,0.7227191413237924,0.7187104480204606,0.006358031215418347,3,0.7743424088601754,0.7751902236569056,0.7766055045871559,0.7723540145985401,0.781306715063521,0.7759597733532597,0.0030072021985641964
