,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_EV,split1_test_EV,split2_test_EV,split3_test_EV,split4_test_EV,mean_test_EV,std_test_EV,rank_test_EV
0,0.24385986328125,0.003739168798526158,0.01679067611694336,0.0011656152847759422,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.016797102234388905,0.02129345766449675,0.020038246153730954,0.026694550582224696,0.024674615326658045,0.021899400997573107,0.0034802680413589604,11,0.01734791320211937,0.021553053143014256,0.020062238443595226,0.026701615490238972,0.024896324723824192,0.022112034973398097,0.0033474977158153675,11
1,0.5329960346221924,0.04395614004836595,0.03837809562683105,0.009041317574651361,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.016635603035123014,0.022715703276537935,0.019733213172077102,0.027282265214034984,0.02425401695437246,0.022124011898020993,0.00366977545654613,5,0.01714652137881756,0.022941033485096463,0.019752662217688344,0.027296031283465028,0.02443280975365325,0.02231366394807824,0.00354878208154038,5
2,1.1556445121765138,0.07078942485788631,0.06616883277893067,0.002533474473498642,5,2,200,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.017056528591876785,0.02221470743357945,0.020025698938567205,0.027065392201125804,0.023610820676442046,0.021994516933911114,0.003365641317973921,8,0.017525072000847963,0.02245967969613938,0.020040801602814295,0.027077438807919796,0.02380006899025089,0.022180499357599158,0.0032537685445227196,8
3,0.26281156539916994,0.015611471827776103,0.018590259552001952,0.002331467597692483,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.01618387026678547,0.021079495213201183,0.01967631964414074,0.026613497716225454,0.024172442831967733,0.021544942033363167,0.0036068164722920667,12,0.016661571948989873,0.021281071018484754,0.01970641264516859,0.026634370241691352,0.024391992724303813,0.021734898552370745,0.003496459045433596,12
4,0.5822069644927979,0.02768544443368001,0.035857105255126955,0.003579607566938092,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.01737753113869034,0.021780756254027422,0.021186896873259586,0.027637734161542582,0.023966436976889827,0.02238976120800607,0.0033755133063725147,2,0.017824991330242956,0.022055890798093003,0.02120412280402506,0.027649069117027025,0.0241159378109157,0.02256989463386026,0.0032506846034490696,2
5,1.0585341930389405,0.060818457104613366,0.06995992660522461,0.010820406128344813,5,5,200,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.017105174478388996,0.022024624459590414,0.02040163918986193,0.027295500882646095,0.02442067302767148,0.02224937109739274,0.003467215222439567,3,0.017613305595504447,0.02224064325864994,0.020423382806842527,0.027303005090992927,0.024593999864397253,0.02243471685059353,0.0033374878507299115,3
6,0.24649348258972167,0.006506946506149369,0.02078838348388672,0.006206191250757983,5,7,50,"{'max_depth': 5, 'min_samples_split': 7, 'n_estimators': 50}",0.016731848369652913,0.02185588018281892,0.020573811790481678,0.02788918172690036,0.02326463689711833,0.022062988054799157,0.0036352216976487726,6,0.017316078747444452,0.022078378829472722,0.020594085381309135,0.027906432978279327,0.02343611642056298,0.022266136939742585,0.0034790693428006676,6
7,0.5608604431152344,0.03263272902423717,0.03440589904785156,0.004341729096285388,5,7,100,"{'max_depth': 5, 'min_samples_split': 7, 'n_estimators': 100}",0.016943945188238163,0.021514250561999737,0.01980938019275791,0.026774903624288804,0.024781178629015077,0.021964535357498857,0.0034965238037176064,9,0.017425423615342273,0.021719782775283747,0.0198397581614419,0.02679870447490662,0.024952758525032648,0.022147089993430593,0.0033855885527729573,10
8,1.0982557773590087,0.06915859518551895,0.07536849975585938,0.012593937266806986,5,7,200,"{'max_depth': 5, 'min_samples_split': 7, 'n_estimators': 200}",0.016480200077013785,0.022375728599358546,0.02049087704274577,0.027045022614007985,0.02469448581010414,0.022217090187836127,0.0036156803867928907,4,0.016970884246068296,0.022616212035664662,0.020515450632403898,0.027056067848929444,0.02489300999334676,0.02241015192981477,0.0034919681094380504,4
9,0.334168815612793,0.07550115912273435,0.024186038970947267,0.004259100836904343,5,10,50,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50}",0.017651209000301482,0.02002253216422556,0.020076093217492597,0.02819997191354029,0.02381631693329933,0.02195309480450852,0.0036947272074760013,10,0.018106921587552782,0.02032261333254115,0.0200854111731672,0.028210253586502643,0.024034371706554758,0.0221517830864191,0.003584106726488726,9
10,0.5795089721679687,0.03921698451946491,0.04237585067749024,0.006736800989755812,5,10,100,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.017779324167341626,0.02196851419357082,0.019664924628939984,0.027064031888872297,0.02366250564088479,0.022027746183402218,0.0032148034407372163,7,0.018226160595898766,0.02222514807770093,0.019678514724798424,0.02707865380334118,0.023868188804551438,0.022215218011655855,0.0031220283644861945,7
11,1.0251804351806642,0.042303397708619905,0.0650454044342041,0.0037939910108451113,5,10,200,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 200}",0.017318142904490186,0.02175052260169863,0.020592489325528374,0.02780718555899675,0.024557482100037276,0.022405014500408108,0.003561158326676869,1,0.01781225260390984,0.0220500178189037,0.020610484880200786,0.027826606997716663,0.024727432332472432,0.022605211036654912,0.0034359559292081896,1
