,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1
0,0.09994235038757324,0.008168473723585153,0.025385618209838867,0.0022435828442009674,gini,5,2,50,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.7366737739872068,0.7395944503735326,0.7382978723404255,0.7382978723404255,0.7380191693290735,0.7381766688196658,0.0009301259088073076,98,0.9942446043165467,0.9971223021582734,0.9985611510791367,1.0,0.9985590778097982,0.9976965717775733,0.001951818696215016,15,0.8462951622780159,0.8492647058823529,0.8489296636085627,0.8494492044063648,0.8487446417636253,0.8485363933568154,0.0011478700606053428,9
1,0.24188380241394042,0.02403816901022153,0.050559377670288085,0.010796752086102519,gini,5,2,100,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.7366737739872068,0.7380191693290735,0.7372340425531915,0.7372340425531915,0.7377398720682303,0.7373800583122438,0.000464714502419134,120,0.9942446043165467,0.9971223021582734,0.9971223021582734,0.9985590778097982,0.9971181556195965,0.9968328007295124,0.001409314143111433,22,0.8462951622780159,0.8482252141982863,0.8477064220183487,0.8482252141982864,0.8480392156862746,0.8476979888437745,0.0007268428432221425,23
2,0.40564837455749514,0.01545161746522357,0.0937462329864502,0.006581153087393258,gini,5,2,200,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.7369542066027689,0.7398720682302772,0.7372340425531915,0.7382978723404255,0.7380191693290735,0.7380754484851296,0.0010245890433139468,99,0.99568345323741,0.9985611510791367,0.9971223021582734,1.0,0.9985590778097982,0.9979845249714235,0.00146730712951885,12,0.8470012239902079,0.84996938150643,0.8477064220183487,0.8494492044063648,0.8487446417636253,0.8485739164060578,0.0010928344159163094,6
3,0.1040522575378418,0.011322846935839088,0.02635960578918457,0.0011875329485806288,gini,5,3,50,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 3, 'n_estimators': 50}",0.7377398720682303,0.7385759829968119,0.7372340425531915,0.7382478632478633,0.7382978723404255,0.738018959607524,0.00047643488404719875,101,0.99568345323741,1.0,0.9971223021582734,0.9956772334293948,1.0,0.9976960480645409,0.0019528580423576998,18,0.8475199020208206,0.8496332518337408,0.8477064220183487,0.8478527607361964,0.8494492044063648,0.848431999249421,0.0009134242357560395,12
4,0.19508819580078124,0.01198284957990047,0.046173620223999026,0.0020385624182453796,gini,5,3,100,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 3, 'n_estimators': 100}",0.7369542066027689,0.7382978723404255,0.7372340425531915,0.7380191693290735,0.7382978723404255,0.7377603494345132,0.0005607194352591812,107,0.99568345323741,0.9985611510791367,0.9971223021582734,0.9985590778097982,1.0,0.9979842188481624,0.00146703689484904,13,0.8470012239902079,0.8489296636085627,0.8477064220183487,0.8487446417636253,0.8494492044063648,0.8483656906099173,0.0008867846748011173,17
5,0.38437891006469727,0.012556281948074649,0.08635058403015136,0.00265174171641548,gini,5,3,200,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 3, 'n_estimators': 200}",0.736392742796158,0.7385759829968119,0.7372340425531915,0.7380191693290735,0.7382978723404255,0.7377036426855199,0.0007942014553126124,111,0.9928057553956835,1.0,0.9971223021582734,0.9985590778097982,1.0,0.9976962656543121,0.002668931640358957,17,0.8455882352941178,0.8496332518337408,0.8477064220183487,0.8487446417636253,0.8494492044063648,0.8482237200886512,0.001481677652739723,18
6,0.09654440879821777,0.003135956962520301,0.026584911346435546,0.0036095065812330666,gini,5,5,50,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.7375132837407014,0.7379162191192267,0.7369542066027689,0.7377398720682303,0.7382978723404255,0.7376840182558031,0.0004461972105288116,112,0.9985611510791367,0.9884892086330935,0.99568345323741,0.9971181556195965,1.0,0.9959684376963248,0.004008312558115201,24,0.8484107579462102,0.8450184501845018,0.8470012239902079,0.8480392156862746,0.8494492044063648,0.8475828810623909,0.001502730203699717,24
7,0.18209538459777833,0.0017193537316150026,0.04477472305297851,0.0017196642038239545,gini,5,5,100,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.7368983957219252,0.7382978723404255,0.7372340425531915,0.7372340425531915,0.7380191693290735,0.7375365638010885,0.0005297353183376606,119,0.9913669064748202,0.9985611510791367,0.9971223021582734,0.9985590778097982,0.9985590778097982,0.9968326034011369,0.0027900670853246183,23,0.845398773006135,0.8489296636085627,0.8477064220183487,0.8482252141982864,0.8487446417636253,0.8478004518059752,0.0012749142615235576,22
8,0.36399226188659667,0.0017194425626940611,0.08375177383422852,0.0009792482057612653,gini,5,5,200,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.7366737739872068,0.7375132837407014,0.7372340425531915,0.7385272145144077,0.7382978723404255,0.7376487752969734,0.0006831901568442875,118,0.9942446043165467,0.9985611510791367,0.9971223021582734,0.9971181556195965,1.0,0.9974082036655764,0.0019088308973304869,20,0.8462951622780159,0.8484107579462102,0.8477064220183487,0.8485591661557327,0.8494492044063648,0.8480834616288576,0.0010524420666494503,21
9,0.09254732131958007,0.0014959619873353305,0.023786354064941406,0.0003994947118384408,gini,5,7,50,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 7, 'n_estimators': 50}",0.7374599786552828,0.739084132055378,0.7380191693290735,0.7385272145144077,0.7382978723404255,0.738277611781493,0.0005383975384271176,97,0.9942446043165467,0.9985611510791367,0.9971223021582734,0.9971181556195965,1.0,0.9974082036655764,0.0019088308973304869,20,0.8468137254901961,0.8494492044063647,0.8482252141982863,0.8485591661557327,0.8494492044063648,0.8484988866012053,0.0009721722787595917,11
